|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:06:50 570437,-0.7,3.1,9.3,0,0,0,80,9.828021164,0,13.00192293,0,0
20:06:51 241841,2.4,14.1,15.5,0,0,0,80,21.09075627,0,20.58883192,2.471841419,1
20:06:51 872674,-5.4,-1.8,5,1.3,-0.9,1.9,80,7.57627877,2.471841419,5.221110993,0,1
20:06:52 416797,-3.1,0.8,8.9,1.3,-0.9,1.9,80,9.458329662,2.471841419,14.39479072,2.643860813,1
20:06:53 036152,10.5,-3.6,7.2,-0.4,-0.2,0,80,13.23064624,0.447213595,15.7,0,1
20:06:53 516783,-5.2,-3.6,7.2,-0.4,-0.2,0,80,9.583318841,0.447213595,15.58075736,0.81240384,1
20:06:53 907483,2.8,8.8,12.2,-0.3,0.6,0.1,83,15.30098036,0.678232998,17.93543978,0.943398113,1
20:06:54 498140,-7.6,-3.8,4.8,0.3,-0.1,0.3,83,9.759098319,0.435889894,1.303840481,0,1
20:06:55 156213,-6.8,-4.7,4.3,0.3,-0.1,0.3,84,9.317725044,0.435889894,16.57256769,6.825686779,1
20:06:55 679796,7.2,-12.4,-0.1,-2.2,-3.6,5.6,84,14.33910736,7.011419257,17.50571335,0,1
20:06:56 236119,-7.6,-4.5,4.9,-2.2,-3.6,5.6,84,10.10049504,7.011419257,52.52846847,10.18773773,1
20:06:56 863765,39.2,-24.5,17.9,3.9,-0.9,-2.1,84,49.57116097,4.519955752,53.01405474,0,1
20:06:57 415280,-8.1,-3.9,5.7,3.9,-0.9,-2.1,84,10.644717,4.519955752,25.19325307,2.887905816,1
20:06:57 672287,15.2,-0.9,-3.4,3.8,-1.6,0.7,84,15.60160248,4.182104733,24.21445849,0,1
20:06:58 371538,-6.5,-3.6,7,3.8,-1.6,0.7,84,10.20832993,4.182104733,23.19568925,5.12445119,1
20:06:59 019927,13.3,-14.6,2,-1.1,-0.7,-0.5,84,19.85069268,1.396424004,21.64924941,1.489966443,1
20:06:59 506729,-3.4,-2.4,8.4,0.3,-0.6,0,84,9.374433316,0.670820393,10.34842983,0,1
20:07:00 073458,5.8,-5.7,11.8,0.3,-0.6,0,84,14.3307362,0.670820393,11.91469681,1.140175425,1
20:07:00 665369,-4.6,-1.3,8,0.3,0.3,0.7,84,9.31933474,0.818535277,9.158056562,0,1
20:07:00 951161,4.1,-3.6,6.3,0.3,0.3,0.7,84,8.334266614,0.818535277,38.36391534,1.967231557,1
20:07:01 672901,-33.6,-8.1,0.8,-0.2,-1.6,0.8,84,34.57180932,1.8,59.30075885,0,1
20:07:02 201861,25.2,-0.6,2.5,-0.2,-1.6,0.8,84,25.33081128,1.8,24.94794581,4.876474136,1
20:07:02 832158,39.2,-15.4,16.9,-4.7,-3.3,1.6,85,45.38072278,5.961543424,70.31336999,0,1
20:07:03 307551,-20.6,13.8,-5.8,-4.7,-3.3,1.6,85,25.46448507,5.961543424,57.88134414,5.334791467,1
20:07:03 944725,6.4,-33.9,-24.4,-3.2,1.7,0.5,86,42.25553218,3.657868232,57.28114873,6.972087205,1
20:07:04 489016,35,8,2.2,1.6,-2.9,2.6,86,35.96998749,4.210700654,7.430343195,0,1
20:07:04 907951,38.6,2,4.7,1.6,-2.9,2.6,86,38.93648674,4.210700654,56.38767596,21.22522085,1
20:07:05 519438,31.3,-39.2,-33.1,-2.5,7.4,-15.5,86,60.09941763,17.35684303,50.69368797,0,1
20:07:06 072610,31,-1.6,0.9,-2.5,7.4,-15.5,87,31.05430727,17.35684303,31.83472946,12.38426421,1
20:07:06 695745,-0.5,-1.4,5.5,5.9,3.9,-7.1,87,5.697367813,10.02147694,17.02762461,0,1
20:07:07 263598,-13.7,-4.5,15.8,5.9,3.9,-7.1,88,21.39111965,10.02147694,15.94176904,5.678908346,1
20:07:07 803110,-1.4,3.2,9.2,2.1,1.4,-3.7,88,9.84073168,4.478839135,14.79797283,0,1
20:07:08 145752,-15.9,0.5,10.4,2.1,1.4,-3.7,88,19.00578859,4.478839135,17.95717127,4.011234224,1
20:07:08 724036,0.8,-6.1,10.3,-1,-0.4,-1.9,88,11.99749974,2.184032967,10.22399139,0,1
20:07:09 332643,2.8,1.7,4,-1,-0.4,-1.9,88,5.170106382,2.184032967,15.18749486,5.223983155,1
20:07:09 907218,10.8,-10.4,8.5,-3.7,-2.4,2.1,88,17.23513853,4.884669897,21.68155898,6.718630813,1
