"|","|__acc","|__gyro"
"01:35:18 634012","142.010162862779",""
"01:35:18 806735","","2565.877694861193"
"01:35:19 451594","93.0284029355953",""
"01:35:19 734638","","137.15964346806595"
"01:42:07 415932","80.97650474179409",""
"01:42:07 419920","","6555.397553757198"
"01:42:08 116921","288.968092629455",""
"01:42:08 157823","","15754.422042650462"
"01:42:08 881592","358.0880968406718",""
"01:42:08 955401","","1579.475786668857"
"01:42:09 913176","49.35476297396053",""
"01:42:09 986438","","5541.354019838423"
"01:42:11 012775","151.66673180596536",""
"01:42:11 142391","","21201.647771095108"
"01:42:11 916507","78.90583532591882",""
"01:42:11 997291","","54934.11209686396"
"01:42:12 983395","108.02047119268991",""
"01:42:13 467113","","241081.70223472314"
"01:42:13 830772","196.1683321195651",""
"01:42:14 046326","","8896.717773138174"
"01:42:14 911022","67.61564631110559",""
"01:42:15 236393","","2871.501067665745"
"01:42:15 854244","31.59352498278622",""
"01:42:16 271243","","7354.290945425525"
"01:42:16 840536","31.23566780109286",""
"01:42:17 228718","","13832.353522268553"
"01:42:17 978230","27.5013606912089",""
"01:42:18 207189","","423.00659789816564"
"01:42:18 809405","107.85163885363909",""
"01:42:19 155534","","45531.41794056012"
"01:42:19 857637","90.12864623783207",""
"01:42:20 260847","","1673.8449371611177"
"01:42:20 979050","84.98696950604517",""
"01:42:21 197338","","5372.154845283507"
"01:42:21 691927","95.97438824231358",""
"01:42:21 923309","","49098.565633734645"
"01:42:22 746156","104.93134922706304",""
"01:42:23 058318","","18710.604887662856"
"01:42:23 743741","99.44513751009617",""
"01:42:23 890349","","52263.89667159622"
"01:42:24 696170","196.86130234931716",""
"01:42:25 107207","","52948.37246403945"
"01:42:25 709092","244.1816492897724",""
"01:42:25 913556","","1588.0097814017472"
"01:42:26 820238","416.8927398218566",""
"01:42:27 237120","","23630.6917923884"
"01:42:27 801614","334.28683951725907",""
"01:42:28 049005","","5866.802925289321"
"01:42:28 798300","128.0810237140695",""
"01:42:29 251228","","26048.14690428339"
"01:42:29 690061","54.927860009210235",""
"01:42:30 054258","","15989.843131075886"
"01:42:30 706516","139.2828708072784",""
"01:42:30 866089","","20165.248717117556"
"01:42:31 712397","119.43867651956862",""
"01:42:32 080656","","8084.060896640332"
